timea	dac1	dac2	dac3	dac3
8.1300001	-0.007334594	-0.001755928	-0.003926505	-0.009505171
8.1599998	-0.007568006	-0.002023279	-0.004135893	-0.00968062
8.1899996	-0.007734986	-0.002268924	-0.004263773	-0.009729835
8.2200003	-0.007658119	-0.002236916	-0.0041717	-0.009592902
8.25	-0.007747022	-0.002404069	-0.004231668	-0.009574621
8.2799997	-0.007633277	-0.002335068	-0.004107273	-0.009405482
8.3100004	-0.00764132	-0.002419305	-0.004093391	-0.009315405
8.3400002	-0.007475209	-0.002298049	-0.003919581	-0.009096741
8.3699999	-0.007398862	-0.002295821	-0.003824624	-0.008927666
8.3999996	-0.007488046	-0.002414766	-0.003902632	-0.008975913
8.4300003	-0.007080468	-0.002094481	-0.003482026	-0.008468012
8.46	-0.007152626	-0.002194873	-0.003542521	-0.008500274
8.4899998	-0.007030414	-0.002147596	-0.003403043	-0.008285861
8.5200005	-0.006834269	-0.001994827	-0.003200395	-0.008039837
8.5500002	-0.006730639	-0.001969113	-0.003080549	-0.007842075
8.5799999	-0.006558034	-0.001841058	-0.002902265	-0.00761924
8.6099997	-0.006510819	-0.001873067	-0.002840745	-0.007478498
8.6400003	-0.00635566	-0.001763386	-0.002681356	-0.007273629
8.6700001	-0.006350599	-0.001837327	-0.002664654	-0.007177927
8.6999998	-0.006493478	-0.002014875	-0.002800658	-0.007279262
8.7299995	-0.006241174	-0.001848736	-0.002543846	-0.006936283
8.7600002	-0.006387512	-0.002027878	-0.002684584	-0.007044218
8.79	-0.006421122	-0.00213393	-0.002712266	-0.006999459
8.8199997	-0.006302791	-0.002054528	-0.002593279	-0.006841542
8.8500004	-0.006317022	-0.00213599	-0.002603374	-0.006784406
8.8800001	-0.006195291	-0.00205073	-0.002481836	-0.006626397
8.9099998	-0.006200747	-0.002118012	-0.002484168	-0.006566904
8.9399996	-0.006064081	-0.002016239	-0.002348481	-0.006396323
8.9700003	-0.006048841	-0.002058968	-0.002330764	-0.006320637
9	-0.006165182	-0.002202319	-0.00244535	-0.006408213
9.0299997	-0.005877113	-0.001982276	-0.002161491	-0.006056327
9.0600004	-0.005983148	-0.002116656	-0.002267128	-0.00613362
9.0900002	-0.005948582	-0.002146412	-0.002236411	-0.006038582
9.1199999	-0.005805261	-0.002038984	-0.002097295	-0.005863573
9.1499996	-0.005753243	-0.002054031	-0.002051976	-0.005751188
9.1800003	-0.005615385	-0.00195285	-0.001919597	-0.005582132
9.21	-0.005578639	-0.001983275	-0.001891499	-0.005486862
9.2399998	-0.005440676	-0.001881813	-0.001759916	-0.005318779
9.2700005	-0.005412453	-0.001918867	-0.001741299	-0.005234885
9.3000002	-0.005517914	-0.002053454	-0.001850182	-0.005314642
9.3299999	-0.005267789	-0.001870794	-0.001613048	-0.005010043
9.3599997	-0.005374256	-0.002004049	-0.001722646	-0.005092854
