Mach,alpha_deg,delta_deg,CNd,CMd
7.0,20.0,8.0,0.6660634368395818,0.47985215342206405
9.0,0.0,8.0,0.222021145613194,0.35093664951762926
9.0,2.0,8.0,0.26499298024800566,0.42255637390898215
9.0,4.0,8.0,0.34377467707849385,0.40107045659157625
9.0,8.0,8.0,0.5156620156177406,0.3580986219567646
9.0,12.0,8.0,0.5657958226916876,0.7734930234266114
9.0,16.0,8.0,0.5657958226916893,0.6016056848873645
9.0,20.0,8.0,0.6230916022047684,0.4798521534220649
11.0,0.0,8.0,0.19337325585665283,0.3008028424436822
11.0,2.0,8.0,0.2363450904914645,0.37958453927417035
11.0,4.0,8.0,0.32945073220022325,0.37958453927417035
11.0,8.0,8.0,0.3939084841524413,0.29364087000454686
11.0,12.0,8.0,0.41539440146984563,0.6230916022047702
11.0,16.0,8.0,0.529985960496012,0.6517394919613116
11.0,20.0,8.0,0.6159296297656371,0.5586338502525523
13.0,0.0,8.0,0.16472536610011168,0.25066903536973517
13.0,2.0,8.0,0.1933732558566529,0.31512678732195276
13.0,4.0,8.0,0.27215495268714085,0.25066903536973517
13.0,8.0,8.0,0.4082324290307119,0.34377467707849396
13.0,12.0,8.0,0.4726901809829296,0.7591690785483406
13.0,16.0,8.0,0.5443099053742826,0.637415547083041
13.0,20.0,8.0,0.6087676573264994,0.5371479329351464
0.3,0.0,12.0,0.8451127478179642,7.166747087428046
0.3,2.0,12.0,0.9119578239165602,6.612887885468251
0.3,4.0,12.0,1.0265493829427248,5.419225812279036
0.3,8.0,12.0,1.0695212175775366,2.382549498085673
0.3,12.0,12.0,0.5443099053742825,1.3989719497777595
0.3,16.0,12.0,0.18143663512475977,0.42494369805536036
0.3,20.0,12.0,-0.08116902097686828,-0.3199014356147104
0.5,0.0,12.0,0.8451127478179642,7.314761184503509
0.5,2.0,12.0,0.9167324722093171,6.741803389372687
0.5,4.0,12.0,1.0265493829427248,5.486070888377632
0.5,8.0,12.0,1.0360986795282379,2.3204790702798337
0.5,12.0,12.0,0.510887367324984,1.2843803907515954
0.5,16.0,12.0,0.19098593171027456,0.7161972439135286
0.5,20.0,12.0,0.02387324146378379,0.34377467707849424
0.8,0.0,12.0,0.8737606375745053,8.064380966466336
0.8,2.0,12.0,0.9406057136731014,7.572592192312379
0.8,4.0,12.0,1.1124930522123482,6.18794418741289
0.8,8.0,12.0,1.2509578527022962,2.793169251262763
0.8,12.0,12.0,0.773493023426612,2.029225524421665
0.8,16.0,12.0,0.4392676429336315,2.0149015795433947
0.8,20.0,12.0,0.36287327024952165,1.73319733027074
1.2,0.0,12.0,0.6398028712294193,9.811902241615348
1.2,2.0,12.0,0.7018732990352582,9.386958543559986
1.2,4.0,12.0,1.036098679528239,7.668085158167516
1.2,8.0,12.0,1.680676199050414,3.7099017234720795
1.2,12.0,12.0,1.193662073189215,4.12052147664917
1.2,16.0,12.0,0.9358310653803453,4.416549670800095
1.2,20.0,12.0,1.0074507897716989,3.5762115712748863
2.0,0.0,12.0,0.5538592019597958,3.9247608966461387
2.0,2.0,12.0,0.5681831468380663,3.939084841524409
2.0,4.0,12.0,0.7066479473280154,3.4186481776139117
2.0,8.0,12.0,1.0933944590413203,1.7475212751490106
2.0,12.0,12.0,0.8546620444034781,2.4111973878422144
2.0,16.0,12.0,0.787816968304882,2.583084726381462
2.0,20.0,12.0,0.8880845824527757,1.928957910273771
3.0,0.0,12.0,0.3962958082988194,2.177239621497128
3.0,2.0,12.0,0.40584510488433306,2.215436807839183
3.0,4.0,12.0,0.5013380707394705,1.9241832619810146
3.0,8.0,12.0,0.7782676717193683,0.997901493186183
3.0,12.0,12.0,0.6063803331801212,1.5851832331952773
3.0,16.0,12.0,0.6016056848873638,1.6281550678300891
3.0,20.0,12.0,0.6875493541569885,1.246183204409541
5.0,0.0,12.0,0.3676479185422782,0.7734930234266113
5.0,2.0,12.0,0.39629580829881944,0.8403380995252073
5.0,4.0,12.0,0.47269018098292903,0.749619781962827
5.0,8.0,12.0,0.6445775195221761,0.42971834634811723
5.0,12.0,12.0,0.6016056848873638,0.8069155614759095
5.0,16.0,12.0,0.6254789263511487,0.7687183751338545
5.0,20.0,12.0,0.6923240024497448,0.5872817400090937
7.0,0.0,12.0,0.30080284244368216,0.5013380707394702
