time ,thrust [N],mdot [kg]
0.2974881,51785.486,22.4934568023531
0.2983214,51844.322,22.5190127085857
0.2991547,51971.8,22.5743838387562
0.299988,52138.502,22.6467922397484
0.3008213,52324.816,22.7277192761515
0.3016546,52373.846,22.7490158646787
0.3024879,52344.428,22.7362379115624
0.3033212,52315.01,22.7234599584461
0.3041545,52207.144,22.6766074636864
0.3049878,52079.666,22.6212363335159
0.3058211,51942.382,22.5616058856399
0.3066544,51805.098,22.501975437764
0.3074877,51707.038,22.4593822607097
0.308321,51599.172,22.41252976595
0.3091543,51579.56,22.4040111305392
0.3099876,51667.814,22.442344989888
0.3108209,51716.844,22.4636415784151
0.3116542,51765.874,22.4849381669423
0.3124875,51883.546,22.5360499794074
0.3133208,52030.636,22.5999397449888
0.3141541,52138.502,22.6467922397484
0.3149874,52177.726,22.6638295105701
0.3158207,52158.114,22.6553108751593
0.316654,52187.532,22.6680888282756
0.3174873,52275.786,22.7064226876244
0.3183206,52315.01,22.7234599584461
0.3191539,52295.398,22.7149413230353
0.3199872,52295.398,22.7149413230353
0.3208205,52344.428,22.7362379115624
0.3216538,52344.428,22.7362379115624
0.3224871,52275.786,22.7064226876244
0.3233204,52177.726,22.6638295105701
0.3241537,52079.666,22.6212363335159
0.324987,51971.8,22.5743838387562
0.3258203,51844.322,22.5190127085857
0.3266536,51795.292,22.4977161200585
0.3274869,51824.71,22.5104940731748
0.3283202,51824.71,22.5104940731748
0.3291535,51746.262,22.4764195315314
0.3299868,51677.62,22.4466043075934
0.3308201,51736.456,22.472160213826
0.3316534,51863.934,22.5275313439965
0.3324867,51952.188,22.5658652033453
0.33332,52011.024,22.5914211095779
0.3341533,52030.636,22.5999397449888
0.3349866,52050.248,22.6084583803996
0.3358199,52079.666,22.6212363335159
0.3366532,52079.666,22.6212363335159
0.3374865,52128.696,22.642532922043
0.3383198,52177.726,22.6638295105701
0.3391531,52187.532,22.6680888282756
0.3399864,52216.95,22.6808667813918
0.3408197,52256.174,22.6979040522135
0.341653,52265.98,22.702163369919
0.3424863,52246.368,22.6936447345081
0.3433196,52207.144,22.6766074636864
0.3441529,52158.114,22.6553108751593
0.3449862,52099.278,22.6297549689267
0.3458195,52069.86,22.6169770158105
0.3466528,52040.442,22.6041990626942
0.3474861,51981.606,22.5786431564616
0.3483194,51893.352,22.5403092971128
0.3491527,51844.322,22.5190127085857
0.349986,51824.71,22.5104940731748
0.3508193,51834.516,22.5147533908802
0.3516526,51873.74,22.5317906617019
0.3524859,51961.994,22.5701245210508
0.3533192,52030.636,22.5999397449888
0.3541525,52060.054,22.612717698105
0.3549858,52079.666,22.6212363335159
0.3558191,52158.114,22.6553108751593
0.3566524,52216.95,22.6808667813918
0.3574857,52216.95,22.6808667813918
0.358319,52216.95,22.6808667813918
0.3591523,52236.562,22.6893854168027
0.3599856,52236.562,22.6893854168027
0.3608189,52177.726,22.6638295105701
0.3616522,52089.472,22.6254956512213
0.3624855,51971.8,22.5743838387562
0.3633188,51893.352,22.5403092971128
0.3641521,51844.322,22.5190127085857
0.3649854,51805.098,22.501975437764
0.3658187,51765.874,22.4849381669423
0.366652,51785.486,22.4934568023531
0.3674853,51834.516,22.5147533908802
0.3683186,51873.74,22.5317906617019
0.3691519,51912.964,22.5488279325236
0.3699852,51961.994,22.5701245210508
0.3708185,52040.442,22.6041990626942
0.3716518,52109.084,22.6340142866322
0.3724851,52158.114,22.6553108751593
0.3733184,52177.726,22.6638295105701
0.3741517,52197.338,22.672348145981
0.374985,52216.95,22.6808667813918
0.3758183,52177.726,22.6638295105701
0.3766516,52099.278,22.6297549689267
0.3774849,52050.248,22.6084583803996
0.3783182,52011.024,22.5914211095779
0.3791515,51961.994,22.5701245210508
0.3799848,51932.576,22.5573465679345
0.3808181,51922.77,22.5530872502291
0.3816514,51912.964,22.5488279325236
0.3824847,51932.576,22.5573465679345
0.383318,51971.8,22.5743838387562
0.3841513,52030.636,22.5999397449888
0.3849846,52079.666,22.6212363335159
0.3858179,52128.696,22.642532922043
0.3866512,52187.532,22.6680888282756
