Mach,alpha_deg,delta_deg,CNd,CMd
11.0,12.0,-8.0,0.32945073220022286,-0.40107045659157625
11.0,16.0,-8.0,0.33661270463935816,-0.40107045659157625
11.0,20.0,-8.0,0.38674651171330604,-0.4655282085437939
13.0,0.0,-8.0,0.17904931097838225,-0.2148591731740587
13.0,2.0,-8.0,0.16472536610011168,-0.19337325585665283
13.0,4.0,-8.0,0.15756339366097652,-0.19337325585665283
13.0,8.0,-8.0,0.2076972007349232,-0.2363450904914646
13.0,12.0,-8.0,0.27215495268714046,-0.32945073220022336
13.0,16.0,-8.0,0.32228875976108756,-0.3867465117133057
13.0,20.0,-8.0,0.3939084841524405,-0.4726901809829292
0.3,0.0,-4.0,2.277507235645022,-2.5066903536973513
0.3,2.0,-4.0,2.2488593458884814,-2.47804246394081
0.3,4.0,-4.0,2.3061551254015633,-2.535338243453893
0.3,8.0,-4.0,2.406422739549458,-2.6499298024800577
0.3,12.0,-4.0,2.3920987946711874,-2.635605857601787
0.3,16.0,-4.0,1.9480565034447974,-2.134267786862317
0.3,20.0,-4.0,1.2748310941660812,-1.4180705429487863
0.5,0.0,-4.0,2.291831180523293,-2.521014298575622
0.5,2.0,-4.0,2.277507235645022,-2.5066903536973513
0.5,4.0,-4.0,2.320479070279834,-2.563986133210434
0.5,8.0,-4.0,2.4350706293059994,-2.6929016371148697
0.5,12.0,-4.0,2.4493945741842684,-2.7072255819931397
0.5,16.0,-4.0,1.9480565034448007,-2.1485917317405874
0.5,20.0,-4.0,1.231859259531271,-1.3607747634357055
0.8,0.0,-4.0,2.492366408819081,-2.7501974166279517
0.8,2.0,-4.0,2.4780424639408105,-2.735873471749681
0.8,4.0,-4.0,2.535338243453892,-2.7931692512627633
0.8,8.0,-4.0,2.635605857601786,-2.907760810288928
0.8,12.0,-4.0,2.649929802480058,-2.9220847551671985
0.8,16.0,-4.0,2.2345354010102128,-2.4637185190625397
0.8,20.0,-4.0,1.6472536610011166,-1.8191409995403638
1.2,0.0,-4.0,2.3061551254015633,-2.7072255819931397
1.2,2.0,-4.0,2.3061551254015633,-2.7072255819931397
1.2,4.0,-4.0,2.334803015158105,-2.735873471749681
1.2,8.0,-4.0,2.349126960036374,-2.764521361506222
1.2,12.0,-4.0,2.3204790702798346,-2.7215495268714105
1.2,16.0,-4.0,2.162915676618858,-2.5496621883321624
1.2,20.0,-4.0,1.9910283380796108,-2.3204790702798337
