Mach,alpha_deg,def_pitch,Cnd,Cmd
2.0,12.0,-20.0,2.718684737895756,-8.164648580614232
2.0,16.0,-20.0,2.7416030497009896,-8.244862671932546
2.0,20.0,-20.0,2.7817100953601472,-8.36518380891002
3.0,0.0,-20.0,1.6243353491958838,-4.875870836563306
3.0,2.0,-20.0,1.6186057712445758,-4.864411680660689
3.0,4.0,-20.0,1.6186057712445756,-4.858682102709381
3.0,8.0,-20.0,1.62147056022023,-4.873006047587652
3.0,12.0,-20.0,1.644388872025463,-4.941760983003351
3.0,16.0,-20.0,1.6701719728063495,-5.02483986329732
3.0,20.0,-20.0,1.6988198625628914,-5.110783532566943
4.0,0.0,-20.0,1.3178029288008934,-3.95340878640268
4.0,2.0,-20.0,1.260507149287811,-3.787251025814742
4.0,4.0,-20.0,1.2175353146529992,-3.6612003108859605
4.0,8.0,-20.0,1.1888874248964583,-3.5695270636650287
4.0,12.0,-20.0,1.208940947726037,-3.626822843178111
4.0,16.0,-20.0,1.2461832044095407,-3.747143980155584
4.0,20.0,-20.0,1.3063437728982774,-3.9218961076704852
5.0,0.0,-20.0,1.1258620674320676,-3.3833157802475116
5.0,2.0,-20.0,1.057107132016369,-3.1741861850247606
5.0,4.0,-20.0,1.0055409304545948,-3.0223523693150924
5.0,8.0,-20.0,0.9625690958197831,-2.887707287459349
5.0,12.0,-20.0,0.9768930406980535,-2.9364087000454693
5.0,16.0,-20.0,1.0227296643085195,-3.0710537819012127
5.0,20.0,-20.0,1.0828902327972563,-3.2544002763430764
0.3,0.0,-16.0,4.698253920072751,-13.378564516304722
0.3,2.0,-16.0,4.855817313733726,-13.83693075240938
0.3,4.0,-16.0,4.94176098300335,-14.076856829120413
0.3,8.0,-16.0,5.016961693614271,-14.280973043635768
0.3,12.0,-16.0,5.120810293981732,-14.588937858518586
0.3,16.0,-16.0,5.113648321542597,-14.556708982542476
0.3,20.0,-16.0,4.870141258611997,-13.861997655946354
0.5,0.0,-16.0,4.723320823609724,-13.460927199354778
0.5,2.0,-16.0,4.92743703812508,-14.041046966924737
0.5,4.0,-16.0,5.03486662471211,-14.345430795587987
0.5,8.0,-16.0,5.117229307762164,-14.578194899859882
0.5,12.0,-16.0,5.213915935690491,-14.85393083876659
0.5,16.0,-16.0,5.17094410105568,-14.721434348642589
0.5,20.0,-16.0,4.845074355075024,-13.801120890213705
0.8,0.0,-16.0,4.80568350665978,-13.693691303626675
0.8,2.0,-16.0,5.031285638492541,-14.341849809368417
0.8,4.0,-16.0,5.156620156177409,-14.699948431325184
0.8,8.0,-16.0,5.267630728984005,-15.000751273768866
0.8,12.0,-16.0,5.339250453375358,-15.215610446942925
0.8,16.0,-16.0,5.274792701423142,-15.022237191086273
0.8,20.0,-16.0,4.938179996783782,-14.058951898022574
1.2,0.0,-16.0,5.149458183738274,-15.362430881945198
1.2,2.0,-16.0,5.289116646301412,-15.777825283415043
1.2,4.0,-16.0,5.375060315571035,-16.049980236102186
1.2,8.0,-16.0,5.489651874597199,-16.39017392696111
1.2,12.0,-16.0,5.554109626549417,-16.583547182817764
1.2,16.0,-16.0,5.546947654110283,-16.569223237939497
1.2,20.0,-16.0,5.439518067523253,-16.25767743683711
2.0,0.0,-16.0,2.671415719797463,-8.024990118051093
2.0,2.0,-16.0,2.664253747358328,-8.007085186953255
2.0,4.0,-16.0,2.671415719797463,-8.024990118051093
2.0,8.0,-16.0,2.7072255819931397,-8.125257732198987
2.0,12.0,-16.0,2.7466164304083835,-8.250592249883853
2.0,16.0,-16.0,2.78242629260406,-8.372345781349155
2.0,20.0,-16.0,2.8218171410193054,-8.479775367936183
3.0,0.0,-16.0,1.6508346472206845,-4.95608492788162
3.0,2.0,-16.0,1.6365107023424137,-4.923856051905512
3.0,4.0,-16.0,1.622186757464143,-4.873722244831566
3.0,8.0,-16.0,1.6257677436837112,-4.891627175929403
3.0,12.0,-16.0,1.6615776058793876,-4.9883138038577295
3.0,16.0,-16.0,1.6902254956359284,-5.081419445566489
3.0,20.0,-16.0,1.7224543716120384,-5.181687059714383
4.0,0.0,-16.0,1.2676691217269462,-3.810169337619975
4.0,2.0,-16.0,1.2175353146529992,-3.6597679163981334
4.0,4.0,-16.0,1.188887424896458,-3.5738242471285098
4.0,8.0,-16.0,1.1853064386768903,-3.559500302250239
4.0,12.0,-16.0,1.2175353146529997,-3.652605943958997
4.0,16.0,-16.0,1.2676691217269467,-3.8030073651808394
4.0,20.0,-16.0,1.3357078598987315,-4.0142855521353304
5.0,0.0,-16.0,1.0635529072115906,-3.1978206940739073
5.0,2.0,-16.0,1.0026761414789407,-3.0080284244368216
