6 13  9												
0.0  4.0   8.0   12.0   16.0    20.0												
0.3  0.5  .8   1.2   1.5  2.0  3.0   4.0   5.0   6.0   7.0    8.0  9.0												
0.0  10000.0  20000.0  30000.0  40000.0  50000.0  60000.0  70000.0   77000.0  												
												
CA-A0.0												
												
1.345	1.147	1.084	0.963	0.923	0.827	0.696	0.614	0.587	0.552	0.529	0.518	0.507
1.325	1.129	1.067	0.943	0.882	0.806	0.69	0.616	0.595	0.563	0.543	0.533	0.523
1.29	1.095	1.031	0.905	0.832	0.779	0.683	0.619	0.603	0.576	0.559	0.552	0.545
												
CA-A77000.0												
												
1.919	1.598	1.49	1.201	1.227	1.086	0.915	0.817	0.795	0.759	0.741	0.738	0.735
1.913	1.592	1.485	1.199	1.219	1.082	0.914	0.817	0.795	0.76	0.742	0.739	0.736
1.905	1.584	1.474	1.193	1.199	1.07	0.909	0.816	0.797	0.763	0.746	0.745	0.744
1.896	1.576	1.464	1.181	1.165	1.051	0.902	0.815	0.799	0.769	0.754	0.753	0.752
1.872	1.554	1.443	1.16	1.118	1.025	0.892	0.813	0.803	0.775	0.763	0.764	0.765
1.83	1.516	1.403	1.119	1.061	0.992	0.879	0.81	0.806	0.783	0.774	0.779	0.784
